Availability,Residence Type,Price(in Lakhs),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
3 BHK,Floor,140.0,1250,11200,Ready to move,vikaspuri,Delhi
1 BHK,Independent House,31.0,400,7750,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,31.0,400,7750,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,31.0,400,7750,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,31.0,400,7750,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,31.0,400,7750,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,31.0,400,7750,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
1 BHK,Independent House,28.5,400,7125,Ready to move,Shalimar Bagh,Delhi
3 BHK,Floor,63.0,1000,6300,Under Construction,Dwarka Mor,Delhi
3 BHK,Floor,37.989,700,5427,Ready to move,Mansa Ram Park,Delhi
3 BHK,Floor,349.9848,1782,19640,Ready to move,Surajmal Vihar,Delhi
2 BHK,Apartment,98.0,1000,9800,Ready to move,New Ashok Nagar,Delhi
2 BHK,Apartment,26.0,650,4000,Ready to move,Sewak Park,Delhi
2 BHK,Apartment,26.0,650,4000,Ready to move,Sewak Park,Delhi
2 BHK,Floor,20.997,450,4666,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,64.998,900,7222,Ready to move,Sector 1 Dwarka,Delhi
2 BHK,Floor,22.999,545,4220,Ready to move,Mahavir Enclave,Delhi
3 BHK,Floor,64.999,1100,5909,Ready to move,Bindapur,Delhi
3 BHK,Floor,64.999,1100,5909,Ready to move,Bindapur,Delhi
3 BHK,Floor,64.999,1100,5909,Ready to move,Bindapur,Delhi
Residential Plot,Residential,399.996,1800,22222,Resale,West Sagarpur,Delhi
Residential Plot,Residential,8.9955,450,1999,Resale,Najafgarh,Delhi
Residential Plot,Residential,29.997,675,4444,Resale,Baprola,Delhi
Residential Plot,Residential,12.99809,337,3857,Resale,Baprola,Delhi
Residential Plot,Residential,299.988,1800,16666,Resale,Sector 23 Dwarka,Delhi
2 BHK,Apartment,30.996,600,5166,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,128.0,1250,10240,Ready to move,Budh Vihar,Delhi
3 BHK,Floor,89.995,820,10975,Ready to move,Rohini sector 24,Delhi
3 BHK,Floor,86.9938,820,10609,Ready to move,Rohini sector 24,Delhi
4 BHK,Apartment,419.976,3800,11052,Ready to move,Paschim Vihar,Delhi
1 BHK,Apartment,19.4985,450,4333,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,70.0,1000,7000,Ready to move,Sector 28 Rohini,Delhi
4 BHK,Floor,360.0,3600,10000,Ready to move,Sector 25 Rohini,Delhi
3 BHK,Floor,82.0,1000,8200,Ready to move,Budh Vihar,Delhi
4 BHK,Floor,359.974,3800,9473,Ready to move,Rohini sector 24,Delhi
4 BHK,Floor,234.99,1800,13055,Ready to move,Rohini sector 24,Delhi
4 BHK,Floor,165.0,1500,11000,Ready to move,Rohini sector 24,Delhi
3 BHK,Floor,84.99,1500,5666,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,85.995,1300,6615,Ready to move,Sector 21 Rohini,Delhi
3 BHK,Floor,96.993,1300,7461,Ready to move,Sector 22 Rohini,Delhi
3 BHK,Floor,109.998,1400,7857,Ready to move,Sector 22 Rohini,Delhi
3 BHK,Floor,94.991,1300,7307,Ready to move,Sector 22 Rohini,Delhi
3 BHK,Floor,162.0,1500,10800,Ready to move,Rohini sector 24,Delhi
3 BHK,Floor,101.997,900,11333,Ready to move,Rohini sector 24,Delhi
3 BHK,Floor,99.999,900,11111,Ready to move,Rohini sector 24,Delhi
3 BHK,Floor,85.995,900,9555,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,75.996,900,8444,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,98.496,900,10944,Ready to move,Rohini sector 24,Delhi
3 BHK,Apartment,53.2004,1070,4972,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,47.80195,895,5341,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,40.50375,875,4629,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,28.71,725,3960,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,26.748,600,4458,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,72.105,1375,5244,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,38.709,850,4554,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,27.7485,650,4269,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,27.9956,680,4117,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,27.5,625,4400,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,43.61,875,4984,Ready to move,Uttam Nagar,Delhi
1 BHK,Apartment,17.2095,550,3129,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,45.6025,850,5365,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,41.096,800,5137,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,25.9956,540,4814,Ready to move,Uttam Nagar,Delhi
1 BHK,Apartment,16.0,400,4000,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,27.0,600,4500,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,27.794,650,4276,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,26.7475,650,4115,Ready to move,Uttam Nagar,Delhi
1 BHK,Apartment,18.21,600,3035,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,26.508,600,4418,Ready to move,Uttam Nagar,Delhi
2 BHK,Apartment,29.995,700,4285,Ready to move,Uttam Nagar,Delhi
6 BHK,Independent House,2499.98229,3627,68927,Ready to move,Neeti Bagh,Delhi
1 BHK,Apartment,17.9974,580,3103,Ready to move,Uttam Nagar,Delhi
6 BHK,Independent House,1899.99,2700,70370,Ready to move,Panchsheel Park,Delhi
3 BHK,Apartment,51.243,950,5394,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,59.5035,1050,5667,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,72.105,1375,5244,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,47.6085,850,5601,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,48.50625,995,4875,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,51.192,900,5688,Ready to move,Uttam Nagar,Delhi
3 BHK,Floor,44.2098,810,5458,Ready to move,Uttam Nagar,Delhi
3 BHK,Apartment,38.505,850,4530,Ready to move,Uttam Nagar,Delhi
4 BHK,Floor,165.998,1400,11857,Ready to move,Rohini sector 24,Delhi
4 BHK,Floor,439.964,3800,11578,Ready to move,Sector 23 Rohini,Delhi
3 BHK,Floor,384.979,2150,17906,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,199.99125,1125,17777,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,364.982,2050,17804,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,264.9875,1450,18275,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,399.982,2200,18181,Ready to move,Chittaranjan Park,Delhi
3 BHK,Floor,300.0,1600,18750,Ready to move,Chittaranjan Park,Delhi
Residential Plot,Residential,158.976,2700,5888,New,Carambolim,Goa
5 BHK,Villa,760.13608,4894,15532,Under Construction,Parra,Goa
4 BHK,Villa,724.978,3700,19594,Under Construction,Assagao,Goa
4 BHK,Apartment,114.99264,2304,4991,Ready to move,Socorro,Goa
2 BHK,Apartment,129.0,1000,12900,Ready to move,Arpora,Goa
4 BHK,Independent House,264.988,3100,8548,Ready to move,Povorim,Goa
3 BHK,Apartment,114.99776,1549,7424,Ready to move,Salcete,Goa
1 BHK,Floor,59.99232,1088,5514,Ready to move,Alto Porvorim,Goa
2 BHK,Apartment,149.98942,1582,9481,Ready to move,Dona Paula,Goa
2 BHK,Apartment,50.8344,944,5385,Under Construction,Dabolim,Goa
2 BHK,Villa,119.99845,1291,9295,Ready to move,Kadamba,Goa
2 BHK,Apartment,109.9936,1184,9290,Under Construction,Socorro,Goa
5 BHK,Independent House,479.95925,4111,11675,Ready to move,Povorim,Goa
3 BHK,Apartment,59.99,1750,3428,Ready to move,Sancoale,Goa
Residential Plot,Residential,250.0,2500,10000,New,Sancoale,Goa
2 BHK,Villa,318.529,1700,18737,Ready to move,Siolim,Goa
2 BHK,Apartment,59.99448,861,6968,Ready to move,Calangute,Goa
5 BHK,Independent House,499.98,6000,8333,Ready to move,Penha de Franca,Goa
2 BHK,Apartment,69.992,1300,5384,Ready to move,Kadamba,Goa
1 BHK,Apartment,29.995,700,4285,Ready to move,Salcete,Goa
4 BHK,Independent House,179.96214,4413,4078,Ready to move,Mapusa,Goa
2 BHK,Apartment,147.9924,1080,13703,Ready to move,Candolim,Goa
3 BHK,Apartment,249.98741,2011,12431,Ready to move,Taleigao,Goa
4 BHK,Villa,995.0,5000,19900,Under Construction,Chapora,Goa
3 BHK,Villa,129.9952,2260,5752,Ready to move,Sancoale,Goa
1 BHK,Apartment,39.9978,823,4860,Ready to move,Dabolim,Goa
1 BHK,Apartment,34.99413,677,5169,Ready to move,Dabolim,Goa
5 BHK,Apartment,299.9888,4304,6970,Ready to move,Povorim,Goa
2 BHK,Apartment,84.9972,965,8808,Ready to move,Dabolim,Goa
4 BHK,Villa,549.982,3767,14600,Under Construction,Penha de Franca,Goa
3 BHK,Villa,459.98758,2522,18239,Ready to move,Siolim,Goa
4 BHK,Villa,389.994,2200,17727,Ready to move,Arpora,Goa
3 BHK,Villa,599.9805,3150,19047,Under Construction,Anjuna,Goa
2 BHK,Apartment,51.99382,1054,4933,Ready to move,Salcete,Goa
4 BHK,Villa,94.99228,1831,5188,Under Construction,Marcel,Goa
2 BHK,Apartment,144.989,1300,11153,Ready to move,Socorro,Goa
4 BHK,Villa,665.12992,4732,14056,Under Construction,Parra,Goa
3 BHK,Apartment,122.9868,2152,5715,Ready to move,Alto Porvorim,Goa
3 BHK,Apartment,59.99,1750,3428,Ready to move,Sancoale,Goa
3 BHK,Independent House,180.0,2000,9000,Ready to move,St Estevam,Goa
4 BHK,Independent House,399.9636,5532,7230,Ready to move,Sateri Nagar Colony,Goa
5 BHK,Villa,799.992,4100,19512,Under Construction,Anjuna,Goa
4 BHK,Apartment,399.99485,2195,18223,Ready to move,Anjuna,Goa
3 BHK,Villa,153.98768,2552,6034,Under Construction,Corlim,Goa
5 BHK,Villa,750.0,7500,10000,Ready to move,Naicavaddo,Goa
2 BHK,Apartment,139.995,1098,12750,Under Construction,Calangute,Goa
3 BHK,Villa,289.98648,2131,13608,Ready to move,Assagao,Goa
3 BHK,Apartment,189.97856,2152,8828,Ready to move,Povorim,Goa
4 BHK,Villa,899.97592,4552,19771,Ready to move,Sateri Nagar Colony,Goa
3 BHK,Apartment,338.0,2500,13520,Under Construction,Dona Paula,Goa
1 BHK,Apartment,61.9941,795,7798,Ready to move,Arpora,Goa
2 BHK,Apartment,84.997,1100,7727,Ready to move,Dabolim,Goa
2 BHK,Apartment,164.99,1400,11785,Ready to move,Socorro,Goa
2 BHK,Villa,139.99793,1399,10007,Ready to move,Kadamba,Goa
4 BHK,Villa,94.99228,1831,5188,Under Construction,Marcel,Goa
3 BHK,Apartment,74.994,1450,5172,Ready to move,Margao,Goa
10 BH,Independent House,1199.96687,10763,11149,Ready to move,Assagao,Goa
3 BHK,Villa,599.99616,3888,15432,Ready to move,Calangute,Goa
4 BHK,Villa,665.12992,4732,14056,Under Construction,Parra,Goa
3 BHK,Apartment,59.99,1750,3428,Ready to move,Sancoale,Goa
2 BHK,Apartment,69.9975,915,7650,Ready to move,Nuvem,Goa
2 BHK,Apartment,67.998,1050,6476,Ready to move,Velha,Goa
2 BHK,Apartment,54.99396,973,5652,Ready to move,Mapusa,Goa
3 BHK,Independent House,67.56486,1002,6743,Ready to move,Chimbel,Goa
2 BHK,Apartment,149.98896,1122,13368,Ready to move,Dona Paula,Goa
4 BHK,Floor,374.9625,4950,7575,Ready to move,Povorim,Goa
2 BHK,Apartment,69.99372,1026,6822,Ready to move,Povorim,Goa
2 BHK,Apartment,62.0,1000,6200,Ready to move,Mapusa,Goa
2 BHK,Apartment,179.99328,1614,11152,Under Construction,Arpora,Goa
3 BHK,Apartment,149.98788,1484,10107,Ready to move,Dona Paula,Goa
4 BHK,Villa,550.0,4000,13750,Under Construction,Sateri Nagar Colony,Goa
2 BHK,Apartment,64.99697,1151,5647,Ready to move,Socorro,Goa
3 BHK,Penthouse,101.12517,2421,4177,Ready to move,Mapusa,Goa
4 BHK,Villa,549.97056,3708,14832,Under Construction,Siolim,Goa
2 BHK,Apartment,154.9952,1280,12109,Ready to move,Caranzalem,Goa
2 BHK,Apartment,57.2957,1063,5390,Under Construction,Dabolim,Goa
2 BHK,Apartment,49.99912,1208,4139,Ready to move,Tivim,Goa
2 BHK,Apartment,65.9904,1120,5892,Ready to move,Margao,Goa
3 BHK,Apartment,133.10178,933,14266,Under Construction,Taleigao,Goa
3 BHK,Independent House,66.63882,989,6738,Ready to move,Chimbel,Goa
3 BHK,Villa,471.99738,3467,13614,Under Construction,Parra,Goa
3 BHK,Villa,471.99738,3467,13614,Under Construction,Parra,Goa
2 BHK,Independent House,56.72545,841,6745,Ready to move,Chimbel,Goa
3 BHK,Apartment,74.9925,1350,5555,Ready to move,Salcete,Goa
3 BHK,Villa,149.983,2300,6521,Ready to move,Salcete,Goa
3 BHK,Villa,119.994,2100,5714,Ready to move,Salcete,Goa
Residential Plot,Residential,66.0,5000,1320,Resale,Salcete,Goa
Residential Plot,Residential,70.0,5000,1400,Resale,Salcete,Goa
4 BHK,Villa,179.9864,2260,7964,Ready to move,Mapusa,Goa
3 BHK,Villa,329.9856,1960,16836,Ready to move,Anjuna,Goa
4 BHK,Independent House,449.98272,3498,12864,Ready to move,Naicavaddo,Goa
4 BHK,Independent House,489.9704,4036,12140,Ready to move,Candolim,Goa
3 BHK,Apartment,249.97408,3616,6913,Ready to move,Candolim,Goa
1 BHK,Apartment,63.99792,882,7256,Ready to move,Saligao,Goa
1 BHK,Apartment,119.99808,753,15936,Ready to move,Candolim,Goa
2 BHK,Apartment,149.99862,1237,12126,Ready to move,Povorim,Goa
3 BHK,Apartment,161.98707,2163,7489,Ready to move,Povorim,Goa
1 BHK,Apartment,74.99415,645,11627,Ready to move,Calangute,Goa
2 BHK,Apartment,99.99605,1367,7315,Ready to move,Socorro,Goa
2 BHK,Apartment,91.99635,839,10965,Ready to move,Assagao,Goa
3 BHK,Apartment,107.99828,1292,8359,Under Construction,Candolim,Goa
1 BHK,Apartment,78.49728,768,10221,Under Construction,Calangute,Goa
2 BHK,Apartment,58.4928,960,6093,Under Construction,Salcete,Goa
4 BHK,Villa,549.984,3370,16320,Under Construction,Pernem,Goa
3 BHK,Villa,90.0,1500,6000,Under Construction,Salcete,Goa
3 BHK,Villa,161.9975,1750,9257,Ready to move,Salcete,Goa
6 BHK,Villa,999.9559,6865,14566,Under Construction,Siolim,Goa
2 BHK,Apartment,127.99576,1213,10552,Under Construction,Sangolda,Goa
1 BHK,Apartment,80.6925,742,10875,Under Construction,Sangolda,Goa
3 BHK,Apartment,180.98608,1564,11572,Under Construction,Sangolda,Goa
3 BHK,Villa,669.981,4100,16341,Ready to move,Baga,Goa
2 BHK,Apartment,249.984,1800,13888,Ready to move,Bambolim,Goa
3 BHK,Apartment,229.9977,2070,11111,Under Construction,Anjuna,Goa
2 BHK,Apartment,155.9864,1460,10684,Under Construction,Anjuna,Goa
3 BHK,Apartment,229.98229,2227,10327,Under Construction,Anjuna,Goa
4 BHK,Villa,149.996,2200,6818,Ready to move,Salcete,Goa
3 BHK,Villa,549.998,2950,18644,Under Construction,Anjuna,Goa
5 BHK,Villa,649.98,6000,10833,Under Construction,Calangute,Goa
4 BHK,Villa,175.0,1750,10000,Under Construction,Salcete,Goa
4 BHK,Villa,799.934,7300,10958,Ready to move,Calangute,Goa
1 BHK,Apartment,65.99536,646,10216,Under Construction,Candolim,Goa
3 BHK,Apartment,132.0,1200,11000,Under Construction,Candolim,Goa
2 BHK,Apartment,89.99354,1379,6526,Ready to move,Calangute,Goa
2 BHK,Apartment,84.9942,690,12318,Ready to move,Dabolim,Goa
3 BHK,Apartment,234.69826,1546,15181,Under Construction,Taleigao,Goa
3 BHK,Apartment,127.35586,922,13813,Under Construction,Taleigao,Goa
4 BHK,Apartment,281.96264,1912,14747,Under Construction,Taleigao,Goa
3 BHK,Apartment,179.30406,1222,14673,Under Construction,Taleigao,Goa
3 BHK,Apartment,132.93116,932,14263,Under Construction,Taleigao,Goa
3 BHK,Apartment,88.75334,1027,8642,Under Construction,Dabolim,Goa
2 BHK,Apartment,44.08064,514,8576,Under Construction,Dabolim,Goa
3 BHK,Apartment,84.41424,976,8649,Under Construction,Dabolim,Goa
1 BHK,Apartment,33.09228,351,9428,Under Construction,Dabolim,Goa
3 BHK,Apartment,84.078,972,8650,Under Construction,Dabolim,Goa
4 BHK,Villa,1194.96,5200,22980,Under Construction,Anjuna,Goa
3 BHK,Villa,399.98662,2447,16346,Under Construction,Dona Paula,Goa
6 BHK,Independent House,799.97324,4894,16346,Under Construction,Dona Paula,Goa
3 BHK,Villa,324.97696,2464,13189,Under Construction,Pilerne,Goa
4 BHK,Villa,995.0,5000,19900,Under Construction,Anjuna,Goa
4 BHK,Villa,1194.96,5200,22980,Under Construction,Chapora,Goa
3 BHK,Villa,155.98336,1744,8944,Under Construction,Povorim,Goa
5 BHK,Villa,339.976,5200,6538,Ready to move,Socorro,Goa
4 BHK,Apartment,112.98816,2304,4904,Ready to move,Socorro,Goa
4 BHK,Villa,199.97523,2713,7371,Ready to move,Povorim,Goa
2 BHK,Floor,124.99548,2186,5718,Ready to move,Socorro,Goa
5 BHK,Villa,340.0,5000,6800,Ready to move,Socorro,Goa
3 BHK,Villa,189.98222,2767,6866,Ready to move,Socorro,Goa
3 BHK,Villa,154.98756,1743,8892,Under Construction,Povorim,Goa
2 BHK,Apartment,50.0,1000,5000,Ready to move,Povorim,Goa
3 BHK,Villa,409.9875,1875,21866,Ready to move,Siolim,Goa
2 BHK,Apartment,64.99604,1049,6196,Ready to move,Mapusa,Goa
3 BHK,Villa,599.97542,2519,23818,Ready to move,Assagao,Goa
3 BHK,Villa,189.98798,1807,10514,Ready to move,Salcete,Goa
2 BHK,Apartment,83.99124,1086,7734,Ready to move,Salcete,Goa
2 BHK,Apartment,74.9921,1054,7115,Ready to move,Salcete,Goa
1 BHK,Apartment,95.19687,633,15039,Under Construction,Morjim,Goa
4 BHK,Villa,699.98262,3229,21678,Ready to move,Assagao,Goa
2 BHK,Apartment,177.996,1050,16952,Ready to move,Siolim,Goa
3 BHK,Apartment,199.9776,2368,8445,Ready to move,Povorim,Goa
4 BHK,Villa,549.98384,3422,16072,Under Construction,Candolim,Goa
4 BHK,Independent House,1199.9651,4090,29339,Ready to move,Mapusa,Goa
5 BHK,Independent House,129.99156,3228,4027,Ready to move,Salcete,Goa
3 BHK,Villa,349.99235,3005,11647,Ready to move,Salcete,Goa
4 BHK,Villa,260.0,2600,10000,Ready to move,Salcete,Goa
3 BHK,Villa,114.9868,1570,7324,Ready to move,Salcete,Goa
2 BHK,Apartment,94.99467,1527,6221,Ready to move,Dabolim,Goa
3 BHK,Apartment,129.98585,1585,8201,Ready to move,Povorim,Goa
5 BHK,Villa,699.95952,4304,16263,Under Construction,Anjuna,Goa
2 BHK,Floor,64.99328,1154,5632,Ready to move,Salcete,Goa
2 BHK,Apartment,149.99894,1022,14677,Ready to move,Assagao,Goa
2 BHK,Apartment,74.9921,1054,7115,Ready to move,Kadamba,Goa
2 BHK,Apartment,51.99382,1054,4933,Ready to move,Margao,Goa
3 BHK,Villa,349.99025,2525,13861,Ready to move,Siolim,Goa
3 BHK,Apartment,242.99356,1502,16178,Under Construction,Taleigao,Goa
2 BHK,Apartment,65.99824,968,6818,Under Construction,Santa Cruz,Goa
3 BHK,Apartment,100.98972,1404,7193,Under Construction,Sancoale,Goa
4 BHK,Independent House,349.97064,3316,10554,Ready to move,Siolim,Goa
2 BHK,Apartment,95.99901,1119,8579,Under Construction,Panjim,Goa
2 BHK,Apartment,69.9396,1002,6980,Under Construction,Santa Cruz,Goa
2 BHK,Apartment,63.9915,925,6918,Under Construction,Santa Cruz,Goa
2 BHK,Apartment,65.99824,968,6818,Under Construction,Santa Cruz,Goa
3 BHK,Apartment,100.98972,1404,7193,Under Construction,Sancoale,Goa
4 BHK,Independent House,349.97064,3316,10554,Ready to move,Siolim,Goa
2 BHK,Apartment,95.99901,1119,8579,Under Construction,Panjim,Goa
2 BHK,Villa,249.99176,1592,15703,Ready to move,Chapora,Goa
2 BHK,Apartment,51.99382,1054,4933,Ready to move,Salcete,Goa
3 BHK,Villa,159.99582,1614,9913,Ready to move,Salcete,Goa
2 BHK,Apartment,69.9396,1002,6980,Under Construction,Santa Cruz,Goa
2 BHK,Apartment,63.9915,925,6918,Under Construction,Santa Cruz,Goa
3 BHK,Apartment,185.9814,1980,9393,Under Construction,Panjim,Goa
2 BHK,Apartment,71.994,1065,6760,Under Construction,Santa Cruz,Goa
2 BHK,Apartment,96.732,1200,8061,Under Construction,Taleigao,Goa
3 BHK,Apartment,141.98568,1506,9428,Under Construction,Socorro,Goa
1 BHK,Apartment,104.99424,752,13962,Under Construction,Calangute,Goa
2 BHK,Apartment,149.98896,1122,13368,Ready to move,Dona Paula,Goa
2 BHK,Apartment,55.0,1000,5500,Ready to move,Socorro,Goa
4 BHK,Apartment,999.95904,5661,17664,Under Construction,Dona Paula,Goa
2 BHK,Apartment,81.74166,1001,8166,Under Construction,Taleigao,Goa
4 BHK,Apartment,436.99176,3186,13716,Under Construction,Taleigao,Goa
2 BHK,Apartment,63.0,1000,6300,Ready to move,Mapusa,Goa
4 BHK,Apartment,999.95904,5661,17664,Under Construction,Dona Paula,Goa
2 BHK,Apartment,81.74166,1001,8166,Under Construction,Taleigao,Goa
4 BHK,Apartment,436.99176,3186,13716,Under Construction,Taleigao,Goa
2 BHK,Apartment,63.0,1000,6300,Ready to move,Mapusa,Goa
2 BHK,Apartment,101.85616,1393,7312,Under Construction,Taleigao,Goa
3 BHK,Apartment,129.75309,1539,8431,Under Construction,Taleigao,Goa
2 BHK,Apartment,184.99418,1442,12829,Under Construction,Calangute,Goa
3 BHK,Apartment,181.9818,1980,9191,Under Construction,Panjim,Goa
4 BHK,Independent House,388.1378,3316,11705,Ready to move,Siolim,Goa
4 BHK,Villa,619.992,3950,15696,Ready to move,Siolim,Goa
2 BHK,Apartment,59.73074,1109,5386,Under Construction,Dabolim,Goa
3 BHK,Apartment,199.99628,1786,11198,Ready to move,Dona Paula,Goa
3 BHK,Apartment,249.99246,1614,15489,Ready to move,Dona Paula,Goa
4 BHK,Apartment,349.99491,2001,17491,Ready to move,Dona Paula,Goa
2 BHK,Apartment,94.9949,1022,9295,Ready to move,Taleigao,Goa
3 BHK,Apartment,199.995,1990,10050,Ready to move,Dona Paula,Goa
2 BHK,Apartment,55.45281,1029,5389,Under Construction,Dabolim,Goa
2 BHK,Apartment,55.51945,1085,5117,Under Construction,Dabolim,Goa
2 BHK,Apartment,59.84957,1111,5387,Under Construction,Dabolim,Goa
2 BHK,Apartment,60.14124,1116,5389,Under Construction,Dabolim,Goa
2 BHK,Apartment,199.98404,1678,11918,Ready to move,Dona Paula,Goa
2 BHK,Apartment,55.45281,1029,5389,Under Construction,Dabolim,Goa
2 BHK,Apartment,55.51945,1085,5117,Under Construction,Dabolim,Goa
2 BHK,Apartment,59.84957,1111,5387,Under Construction,Dabolim,Goa
2 BHK,Apartment,60.14124,1116,5389,Under Construction,Dabolim,Goa
2 BHK,Villa,89.9904,1635,5504,Ready to move,Salcete,Goa
2 BHK,Apartment,79.99776,1269,6304,Ready to move,Kadamba,Goa
2 BHK,Villa,209.99154,2238,9383,Ready to move,Dona Paula,Goa
3 BHK,Apartment,119.98656,1689,7104,Ready to move,Chimbel,Goa
2 BHK,Apartment,139.9876,1345,10408,Ready to move,Dona Paula,Goa
3 BHK,Villa,224.98614,2238,10053,Ready to move,Dona Paula,Goa
3 BHK,Villa,229.99731,2797,8223,Ready to move,Majorda,Goa
1 BHK,Apartment,79.9932,840,9523,Ready to move,Dabolim,Goa
3 BHK,Apartment,199.995,1990,10050,Ready to move,Dona Paula,Goa
3 BHK,Apartment,80.23116,1139,7044,Under Construction,Vasco Da Gama,Goa
2 BHK,Apartment,45.98758,514,8947,Under Construction,Dabolim,Goa
3 BHK,Apartment,59.99,1750,3428,Ready to move,Sancoale,Goa
Residential Plot,Residential,74.9694,3070,2442,Resale,Mapusa,Goa
4 BHK,Floor,279.972,3600,7777,Ready to move,Povorim,Goa
3 BHK,Villa,269.9904,1780,15168,Ready to move,Arpora,Goa
4 BHK,Villa,1299.96,6000,21666,Ready to move,Assagao,Goa
4 BHK,Floor,279.972,3600,7777,Ready to move,Povorim,Goa
Residential Plot,Residential,1499.9796,7560,19841,Resale,Dabolim,Goa
2 BHK,Apartment,74.99424,1227,6112,Ready to move,Povorim,Goa
3 BHK,Apartment,64.9878,1335,4868,Ready to move,Salcete,Goa
4 BHK,Villa,86.9946,1614,5390,Ready to move,Salcete,Goa
2 BHK,Apartment,67.9946,947,7180,Ready to move,Mapusa,Goa
3 BHK,Villa,99.9999,1485,6734,Ready to move,Salcete,Goa
2 BHK,Apartment,59.9982,1140,5263,Ready to move,Salcete,Goa
3 BHK,Apartment,114.99192,1668,6894,Ready to move,Salcete,Goa
1 BHK,Apartment,83.25,925,9000,Ready to move,Calangute,Goa
2 BHK,Villa,199.99816,1237,16168,Ready to move,Calangute,Goa
1 BHK,Apartment,49.99309,731,6839,Ready to move,Sangolda,Goa
2 BHK,Apartment,38.99672,839,4648,Ready to move,Salcete,Goa
1 BHK,Apartment,39.99748,452,8849,Ready to move,Calangute,Goa
2 BHK,Apartment,79.992,990,8080,Ready to move,Calangute,Goa
4 BHK,Villa,149.98772,2207,6796,Ready to move,Salcete,Goa
2 BHK,Apartment,59.98959,1119,5361,Ready to move,Salcete,Goa
1 RK ,Apartment,41.99984,452,9292,Ready to move,Candolim,Goa
3 BHK,Apartment,64.99888,1744,3727,Ready to move,Salcete,Goa
